S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2022081401015156,SHIVM,37,41,15,707,10605.00
2,2022081401015155,SHIVM,33,41,25,707,17675.00
3,2022081401015154,SHIVM,42,41,10,707,7070.00
4,2022081403013333,NLIC,3,52,200,671.9,134380.00
5,2022081403013332,GUFL,45,56,20,548,10960.00
6,2022081403013331,RLFL,45,40,310,346,107260.00
7,2022081403013330,RLFL,45,14,200,345,69000.00
8,2022081403013329,RLFL,45,36,50,345,17250.00
9,2022081403013328,RLFL,45,38,200,344.5,68900.00
10,2022081403013327,RLFL,45,48,200,344,68800.00
11,2022081403013326,RLFL,45,38,15,343,5145.00
12,2022081401015153,NABIL,7,45,64,789,50496.00
13,2022081403013325,RLFL,45,28,25,342,8550.00
14,2022081405001984,TPC,59,43,10,448,4480.00
15,2022081401015152,PCBL,56,16,500,238.8,119400.00
16,2022081401015151,PCBL,56,25,200,238.7,47740.00
17,2022081401015150,PCBL,56,14,280,238.6,66808.00
18,2022081401015149,PCBL,56,10,50,238.5,11925.00
19,2022081401015148,PCBL,56,49,35,238,8330.00
20,2022081401015147,PCBL,56,3,200,238,47600.00
21,2022081401015146,PCBL,56,38,410,237,97170.00
22,2022081401015145,PCBL,56,46,317,236,74812.00
23,2022081404007945,MHNL,56,34,10,289,2890.00
24,2022081404007944,MHNL,56,44,100,284.6,28460.00
25,2022081401015144,NCCB,56,21,100,206.9,20690.00
26,2022081404007943,SPDL,48,38,11,330,3630.00
27,2022081404007942,SPDL,48,28,100,328,32800.00
28,2022081404007941,SPDL,48,45,200,328,65600.00
29,2022081404007940,SPDL,48,52,420,327,137340.00
30,2022081403013324,CHDC,50,33,20,756,15120.00
31,2022081404007939,SPDL,48,44,69,325,22425.00
32,2022081401015143,SBL,29,40,300,304,91200.00
33,2022081404007938,BARUN,53,14,230,277,63710.00
34,2022081401015142,HHL,28,14,10,316,3160.00
35,2022081404007937,BARUN,28,14,20,277,5540.00
36,2022081404007936,IGI,58,51,90,420,37800.00
37,2022081404007935,IGI,58,51,20,419,8380.00
38,2022081404007934,IGI,58,1,190,419,79610.00
39,2022081403013323,ICFC,58,45,11,495,5445.00
40,2022081401015141,HHL,28,58,10,316,3160.00
41,2022081404007933,HPPL,34,36,960,387.6,372096.00
42,2022081404007932,HPPL,34,42,100,387.5,38750.00
43,2022081404007931,HPPL,34,35,200,386.5,77300.00
44,2022081404007930,HPPL,34,51,290,386.5,112085.00
45,2022081404007929,HPPL,34,58,10,385,3850.00
46,2022081404007928,HPPL,34,55,150,382.5,57375.00
47,2022081404007927,HPPL,34,54,200,382.5,76500.00
48,2022081404007926,HPPL,34,13,30,382.5,11475.00
49,2022081404007925,HPPL,34,1,200,382,76400.00
50,2022081404007924,HPPL,34,52,250,381,95250.00
51,2022081404007923,HPPL,34,49,100,380,38000.00
52,2022081404007922,HPPL,34,43,210,380,79800.00
53,2022081404007921,HPPL,34,34,300,380,114000.00
54,2022081401015140,GVL,51,58,10,365.4,3654.00
55,2022081401015139,GVL,51,49,10,360.1,3601.00
56,2022081405001983,MLBS,18,46,10,1217,12170.00
57,2022081405001982,SPC,49,26,420,537.9,225918.00
58,2022081405001981,SPC,49,41,10,537,5370.00
59,2022081405001980,SPC,49,14,10,536,5360.00
60,2022081405001979,SPC,49,16,500,535,267500.00
61,2022081405001978,SPC,49,49,10,535,5350.00
